timestamp,datetime,resource_id,resource_type,location,previous_location,route_path
1326.5,2025-12-01T22:06:30+00:00,W0047,wagon,collection1,,collection1|Mainline|retrofit
1326.5,2025-12-01T22:06:30+00:00,W0049,wagon,collection1,,collection1|Mainline|retrofit
1326.5,2025-12-01T22:06:30+00:00,W2535,wagon,collection1,,collection1|Mainline|retrofit
1330.0,2025-12-01T22:10:00+00:00,LOCO_01,locomotive,retrofitted,WS_01,
1330.0,2025-12-01T22:10:00+00:00,W10546,wagon,WS_01,,WS_01|retrofitted
1330.0,2025-12-01T22:10:00+00:00,W7222,wagon,WS_01,,WS_01|retrofitted
1335.0,2025-12-01T22:15:00+00:00,W10546,wagon,retrofitted,,
1335.0,2025-12-01T22:15:00+00:00,W7222,wagon,retrofitted,,
1335.0,2025-12-01T22:15:00+00:00,LOCO_01,locomotive,track_19,retrofitted,
1342.0,2025-12-01T22:22:00+00:00,LOCO_01,locomotive,retrofit,track_19,
1350.0,2025-12-01T22:30:00+00:00,LOCO_01,locomotive,WS_02,retrofit,
1350.0,2025-12-01T22:30:00+00:00,W0689,wagon,retrofit,,retrofit|WS_02
1350.0,2025-12-01T22:30:00+00:00,W11268,wagon,retrofit,,retrofit|WS_02
1355.0,2025-12-01T22:35:00+00:00,W0689,wagon,WS_02,,
1355.0,2025-12-01T22:35:00+00:00,W11268,wagon,WS_02,,
1361.0,2025-12-01T22:41:00+00:00,W0689,wagon,WS_02,,
1361.0,2025-12-01T22:41:00+00:00,W11268,wagon,WS_02,,
1361.0,2025-12-01T22:41:00+00:00,LOCO_01,locomotive,track_19,WS_02,
1368.0,2025-12-01T22:48:00+00:00,LOCO_01,locomotive,retrofit,track_19,
1376.0,2025-12-01T22:56:00+00:00,LOCO_01,locomotive,WS_01,retrofit,
1376.0,2025-12-01T22:56:00+00:00,W11509,wagon,retrofit,,retrofit|WS_01
1376.0,2025-12-01T22:56:00+00:00,W6557,wagon,retrofit,,retrofit|WS_01
1381.0,2025-12-01T23:01:00+00:00,W11509,wagon,WS_01,,
1381.0,2025-12-01T23:01:00+00:00,W6557,wagon,WS_01,,
1386.5,2025-12-01T23:06:30+00:00,W10383,wagon,retrofit,,
1386.5,2025-12-01T23:06:30+00:00,W2238,wagon,retrofit,,
1386.5,2025-12-01T23:06:30+00:00,W0047,wagon,retrofit,,
1386.5,2025-12-01T23:06:30+00:00,W0049,wagon,retrofit,,
1386.5,2025-12-01T23:06:30+00:00,W2535,wagon,retrofit,,
