timestamp,datetime,resource_id,resource_type,state,train_id,batch_id,rejection_reason
1602.5,2025-12-02T02:42:30+00:00,W10354,wagon,arrived,T17,,
1602.5,2025-12-02T02:42:30+00:00,W3950,wagon,arrived,T17,,
1602.5,2025-12-02T02:42:30+00:00,W7997,wagon,arrived,T17,,
1602.5,2025-12-02T02:42:30+00:00,W8626,wagon,arrived,T17,,
1607.5,2025-12-02T02:47:30+00:00,LOCO_02,locomotive,moving,,,
1607.5,2025-12-02T02:47:30+00:00,W0689,wagon,moving,,,
1607.5,2025-12-02T02:47:30+00:00,W11268,wagon,moving,,,
1612.5,2025-12-02T02:52:30+00:00,W0689,wagon,in_workshop,,,
1612.5,2025-12-02T02:52:30+00:00,W11268,wagon,in_workshop,,,
1618.5,2025-12-02T02:58:30+00:00,W0689,wagon,in_workshop,,,
1618.5,2025-12-02T02:58:30+00:00,W11268,wagon,in_workshop,,,
1618.5,2025-12-02T02:58:30+00:00,LOCO_02,locomotive,moving,,,
1623.5,2025-12-02T03:03:30+00:00,LOCO_02,locomotive,moving,,,
1630.5,2025-12-02T03:10:30+00:00,LOCO_02,locomotive,moving,,,
1630.5,2025-12-02T03:10:30+00:00,W10546,wagon,moving,,,
1630.5,2025-12-02T03:10:30+00:00,W7222,wagon,moving,,,
1635.5,2025-12-02T03:15:30+00:00,LOCO_02,locomotive,moving,,,
1640.5,2025-12-02T03:20:30+00:00,LOCO_02,locomotive,moving,,,
1658.0,2025-12-02T03:38:00+00:00,W10704,wagon,parked,,,
1658.0,2025-12-02T03:38:00+00:00,W3675,wagon,parked,,,
1658.0,2025-12-02T03:38:00+00:00,W7132,wagon,parked,,,
1658.0,2025-12-02T03:38:00+00:00,W8934,wagon,parked,,,
1658.0,2025-12-02T03:38:00+00:00,LOCO_01,locomotive,moving,,,
1678.5,2025-12-02T03:58:30+00:00,W0689,wagon,retrofitted,,,
1678.5,2025-12-02T03:58:30+00:00,W11268,wagon,retrofitted,,,
1687.25,2025-12-02T04:07:15+00:00,W9174,wagon,arrived,T18,,
1687.25,2025-12-02T04:07:15+00:00,W9169,wagon,arrived,T18,,
1687.25,2025-12-02T04:07:15+00:00,W9173,wagon,arrived,T18,,
1700.5,2025-12-02T04:20:30+00:00,LOCO_02,locomotive,assigned,,,
1705.5,2025-12-02T04:25:30+00:00,LOCO_02,locomotive,moving,,,
1705.5,2025-12-02T04:25:30+00:00,W9392,wagon,moving,,,
1705.5,2025-12-02T04:25:30+00:00,W9274,wagon,moving,,,
1720.0,2025-12-02T04:40:00+00:00,LOCO_01,locomotive,moving,,,
1728.0,2025-12-02T04:48:00+00:00,LOCO_01,locomotive,moving,,,
1728.0,2025-12-02T04:48:00+00:00,W11509,wagon,moving,,,
1728.0,2025-12-02T04:48:00+00:00,W6557,wagon,moving,,,
1733.0,2025-12-02T04:53:00+00:00,W11509,wagon,in_workshop,,,
1733.0,2025-12-02T04:53:00+00:00,W6557,wagon,in_workshop,,,
1739.0,2025-12-02T04:59:00+00:00,W11509,wagon,in_workshop,,,
1739.0,2025-12-02T04:59:00+00:00,W6557,wagon,in_workshop,,,
1739.0,2025-12-02T04:59:00+00:00,LOCO_01,locomotive,moving,,,
1744.0,2025-12-02T05:04:00+00:00,LOCO_01,locomotive,moving,,,
1751.0,2025-12-02T05:11:00+00:00,LOCO_01,locomotive,moving,,,
1751.0,2025-12-02T05:11:00+00:00,W0689,wagon,moving,,,
1751.0,2025-12-02T05:11:00+00:00,W11268,wagon,moving,,,
1756.0,2025-12-02T05:16:00+00:00,LOCO_01,locomotive,moving,,,
1761.0,2025-12-02T05:21:00+00:00,LOCO_01,locomotive,assigned,,,
1761.0,2025-12-02T05:21:00+00:00,LOCO_01,locomotive,moving,,,
1765.5,2025-12-02T05:25:30+00:00,W9392,wagon,queued,,,
1765.5,2025-12-02T05:25:30+00:00,W9274,wagon,queued,,,
1767.0,2025-12-02T05:27:00+00:00,W6140,wagon,arrived,T19,,
1769.0,2025-12-02T05:29:00+00:00,LOCO_01,locomotive,moving,,,
1774.5,2025-12-02T05:34:30+00:00,LOCO_02,locomotive,moving,,,
1781.5,2025-12-02T05:41:30+00:00,LOCO_02,locomotive,moving,,,
1789.5,2025-12-02T05:49:30+00:00,LOCO_02,locomotive,moving,,,
1789.5,2025-12-02T05:49:30+00:00,W10356,wagon,moving,,,
1789.5,2025-12-02T05:49:30+00:00,W6006,wagon,moving,,,
1794.5,2025-12-02T05:54:30+00:00,W10356,wagon,in_workshop,,,
1794.5,2025-12-02T05:54:30+00:00,W6006,wagon,in_workshop,,,
1799.0,2025-12-02T05:59:00+00:00,W11509,wagon,retrofitted,,,
1799.0,2025-12-02T05:59:00+00:00,W6557,wagon,retrofitted,,,
1800.5,2025-12-02T06:00:30+00:00,W10356,wagon,in_workshop,,,
1800.5,2025-12-02T06:00:30+00:00,W6006,wagon,in_workshop,,,
1800.5,2025-12-02T06:00:30+00:00,LOCO_02,locomotive,moving,,,
