timestamp,datetime,locomotive_id,event,from_location,to_location,purpose
1908.0,2025-12-02T07:48:00+00:00,LOCO_01,MOVING,WS_01,track_19,
1909.5,2025-12-02T07:49:30+00:00,LOCO_02,PARKING,,,
1911.5,2025-12-02T07:51:30+00:00,LOCO_02,MOVING,track_19,retrofit,
1913.0,2025-12-02T07:53:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
1913.0,2025-12-02T07:53:00+00:00,LOCO_01,MOVING,track_19,retrofitted,
1919.5,2025-12-02T07:59:30+00:00,LOCO_02,MOVING,retrofit,WS_02,
1923.0,2025-12-02T08:03:00+00:00,LOCO_01,MOVING,retrofitted,parking16,
1930.5,2025-12-02T08:10:30+00:00,LOCO_02,MOVING,WS_02,track_19,
1968.5,2025-12-02T08:48:30+00:00,LOCO_02,MOVING,track_19,WS_01,
1975.5,2025-12-02T08:55:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
1980.5,2025-12-02T09:00:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
1987.5,2025-12-02T09:07:30+00:00,LOCO_02,MOVING,track_19,retrofit,
1995.5,2025-12-02T09:15:30+00:00,LOCO_02,MOVING,retrofit,WS_01,
2006.5,2025-12-02T09:26:30+00:00,LOCO_02,MOVING,WS_01,track_19,
2011.5,2025-12-02T09:31:30+00:00,LOCO_02,MOVING,track_19,WS_02,
2018.5,2025-12-02T09:38:30+00:00,LOCO_02,MOVING,WS_02,retrofitted,
2023.5,2025-12-02T09:43:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
2030.5,2025-12-02T09:50:30+00:00,LOCO_02,MOVING,track_19,retrofit,
2038.5,2025-12-02T09:58:30+00:00,LOCO_02,MOVING,retrofit,WS_02,
2049.5,2025-12-02T10:09:30+00:00,LOCO_02,MOVING,WS_02,track_19,
2050.5,2025-12-02T10:10:30+00:00,LOCO_01,MOVING,parking16,track_19,
2054.5,2025-12-02T10:14:30+00:00,LOCO_02,MOVING,track_19,collection1,
2110.5,2025-12-02T11:10:30+00:00,LOCO_01,MOVING,track_19,WS_01,
2114.5,2025-12-02T11:14:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
2117.5,2025-12-02T11:17:30+00:00,LOCO_01,MOVING,WS_01,retrofitted,
2121.5,2025-12-02T11:21:30+00:00,LOCO_02,MOVING,collection1,retrofit,
2122.5,2025-12-02T11:22:30+00:00,LOCO_01,MOVING,retrofitted,track_19,
2127.5,2025-12-02T11:27:30+00:00,LOCO_01,MOVING,track_19,WS_02,
2134.5,2025-12-02T11:34:30+00:00,LOCO_01,MOVING,WS_02,retrofitted,
2139.5,2025-12-02T11:39:30+00:00,LOCO_01,MOVING,retrofitted,track_19,
2146.5,2025-12-02T11:46:30+00:00,LOCO_01,MOVING,track_19,retrofit,
2154.5,2025-12-02T11:54:30+00:00,LOCO_01,MOVING,retrofit,WS_01,
2165.5,2025-12-02T12:05:30+00:00,LOCO_01,MOVING,WS_01,track_19,
2170.5,2025-12-02T12:10:30+00:00,LOCO_01,MOVING,track_19,collection2,
2196.5,2025-12-02T12:36:30+00:00,LOCO_02,MOVING,retrofit,track_19,
2201.5,2025-12-02T12:41:30+00:00,LOCO_02,PARKING,,,
2203.5,2025-12-02T12:43:30+00:00,LOCO_02,MOVING,track_19,retrofit,
2211.5,2025-12-02T12:51:30+00:00,LOCO_02,MOVING,retrofit,WS_02,
2222.5,2025-12-02T13:02:30+00:00,LOCO_02,MOVING,WS_02,track_19,
2227.5,2025-12-02T13:07:30+00:00,LOCO_02,MOVING,track_19,WS_01,
2230.5,2025-12-02T13:10:30+00:00,LOCO_01,ALLOCATED,,,batch_transport
2234.5,2025-12-02T13:14:30+00:00,LOCO_02,MOVING,WS_01,retrofitted,
2239.5,2025-12-02T13:19:30+00:00,LOCO_02,MOVING,retrofitted,track_19,
2244.5,2025-12-02T13:24:30+00:00,LOCO_02,ALLOCATED,,,batch_transport
2244.5,2025-12-02T13:24:30+00:00,LOCO_02,MOVING,track_19,retrofitted,
2245.5,2025-12-02T13:25:30+00:00,LOCO_01,MOVING,collection2,retrofit,
2253.5,2025-12-02T13:33:30+00:00,LOCO_02,MOVING,retrofitted,parking16,
2344.5,2025-12-02T15:04:30+00:00,LOCO_01,MOVING,retrofit,track_19,
2349.5,2025-12-02T15:09:30+00:00,LOCO_01,PARKING,,,
2349.5,2025-12-02T15:09:30+00:00,LOCO_01,MOVING,track_19,WS_02,
2356.5,2025-12-02T15:16:30+00:00,LOCO_01,MOVING,WS_02,retrofitted,
2361.5,2025-12-02T15:21:30+00:00,LOCO_01,MOVING,retrofitted,track_19,
2366.5,2025-12-02T15:26:30+00:00,LOCO_01,MOVING,track_19,retrofit,
2374.5,2025-12-02T15:34:30+00:00,LOCO_01,MOVING,retrofit,WS_01,
2379.0,2025-12-02T15:39:00+00:00,LOCO_02,MOVING,parking16,track_19,
2382.5,2025-12-02T15:42:30+00:00,LOCO_01,MOVING,WS_01,track_19,
2389.5,2025-12-02T15:49:30+00:00,LOCO_01,MOVING,track_19,retrofit,
2397.5,2025-12-02T15:57:30+00:00,LOCO_01,MOVING,retrofit,WS_02,
2408.5,2025-12-02T16:08:30+00:00,LOCO_01,MOVING,WS_02,track_19,
2439.0,2025-12-02T16:39:00+00:00,LOCO_01,ALLOCATED,,,batch_transport
2439.0,2025-12-02T16:39:00+00:00,LOCO_01,MOVING,track_19,retrofitted,
2442.5,2025-12-02T16:42:30+00:00,LOCO_02,MOVING,track_19,WS_01,
2449.0,2025-12-02T16:49:00+00:00,LOCO_01,MOVING,retrofitted,parking16,
2449.0,2025-12-02T16:49:00+00:00,LOCO_02,MOVING,WS_01,retrofitted,
2454.0,2025-12-02T16:54:00+00:00,LOCO_02,MOVING,retrofitted,track_19,
2461.0,2025-12-02T17:01:00+00:00,LOCO_02,MOVING,track_19,retrofit,
2469.0,2025-12-02T17:09:00+00:00,LOCO_02,MOVING,retrofit,WS_01,
2480.0,2025-12-02T17:20:00+00:00,LOCO_02,MOVING,WS_01,track_19,
2485.0,2025-12-02T17:25:00+00:00,LOCO_02,MOVING,track_19,WS_02,
2492.0,2025-12-02T17:32:00+00:00,LOCO_02,MOVING,WS_02,retrofitted,
2497.0,2025-12-02T17:37:00+00:00,LOCO_02,MOVING,retrofitted,track_19,
2502.0,2025-12-02T17:42:00+00:00,LOCO_02,MOVING,track_19,collection1,
2562.0,2025-12-02T18:42:00+00:00,LOCO_02,ALLOCATED,,,batch_transport
2576.5,2025-12-02T18:56:30+00:00,LOCO_01,MOVING,parking16,track_19,
2579.0,2025-12-02T18:59:00+00:00,LOCO_02,MOVING,collection1,retrofit,
