timestamp,datetime,locomotive_id,event_type,location,from_location,to_location,purpose,coupler_type,wagon_count,duration_min
1311.5,2025-12-01T21:51:30+00:00,LOCO_01,SHUNTING_PREP,retrofitted,,,,,2,1.0
1312.5,2025-12-01T21:52:30+00:00,LOCO_01,MOVING,parking16,retrofitted,parking16,,,0,120.0
1432.5,2025-12-01T23:52:30+00:00,LOCO_01,LOCO_DECOUPLING_STARTED,parking16,,,,DAC,2,0.5
1433.0,2025-12-01T23:53:00+00:00,LOCO_01,LOCO_DECOUPLING_COMPLETED,parking16,,,,DAC,2,0.5
1433.0,2025-12-01T23:53:00+00:00,LOCO_01,RAKE_DECOUPLING_STARTED,parking16,,,,DAC,2,0.5
1433.5,2025-12-01T23:53:30+00:00,LOCO_01,RAKE_DECOUPLING_COMPLETED,parking16,,,,DAC,2,0.5
1434.0,2025-12-01T23:54:00+00:00,LOCO_01,MOVING,track_19,parking16,track_19,,,0,60.0
1494.0,2025-12-02T00:54:00+00:00,LOCO_01,MOVING,WS_01,track_19,WS_01,,,0,5.0
1499.0,2025-12-02T00:59:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
1499.5,2025-12-02T00:59:30+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
1499.5,2025-12-02T00:59:30+00:00,LOCO_01,LOCO_COUPLING_STARTED,WS_01,,,,DAC,2,0.5
1500.0,2025-12-02T01:00:00+00:00,LOCO_01,LOCO_COUPLING_COMPLETED,WS_01,,,,DAC,2,0.5
1500.0,2025-12-02T01:00:00+00:00,LOCO_01,SHUNTING_PREP,WS_01,,,,,2,1.0
1501.0,2025-12-02T01:01:00+00:00,LOCO_01,MOVING,retrofitted,WS_01,retrofitted,,,0,5.0
1506.0,2025-12-02T01:06:00+00:00,LOCO_01,MOVING,track_19,retrofitted,track_19,,,0,5.0
1511.0,2025-12-02T01:11:00+00:00,LOCO_01,ALLOCATED,,,,batch_transport,,0,0.0
1511.0,2025-12-02T01:11:00+00:00,LOCO_01,MOVING,retrofitted,track_19,retrofitted,,,0,5.0
1516.0,2025-12-02T01:16:00+00:00,LOCO_01,RAKE_COUPLING_STARTED,retrofitted,,,,DAC,4,1.5
1517.5,2025-12-02T01:17:30+00:00,LOCO_01,RAKE_COUPLING_COMPLETED,retrofitted,,,,DAC,4,1.5
1517.5,2025-12-02T01:17:30+00:00,LOCO_01,LOCO_COUPLING_STARTED,retrofitted,,,,DAC,4,0.5
